coin,7day Price
BTC,44840.30
ETH,3035.63
BNB,408.15
BUSD,0.99940
BCH,649.38
ADA,1.98
LINK,26.33
ATOM,16.08
CRO,0.14294
DOGE,0.30433
EOS,5.13
FTT,44.33
MIOTA,1.01
LTC,170.94
XMR,257.76
XEM,0.20025
DOT,23.80
XRP,1.12
SOL,64.95
XLM,0.34583
USDT,1.00
THETA,7.05
TRX,0.08644
VET,0.11870
FIL,71.24
SHIB,8.11
