Coin,Name_Pair,Price,volume
BTC,BTCUSD,48622.50,1087.28850651
ETH,ETHUSD,3169.96,12924.30377489
BCH,BCHUSD,660.02,8243.01774476
LINK,LINKUSD,27.33,211450.31185927
LTC,LTCUSD,182.17,42873.17802601
XRP,XRPUSD,1.20528,24657745.27293500
XLM,XLMUSD,0.36569,15118561.98737610
USDT,USDTUSD,1.00007,496233.67103
