coin
BTC
ETH
BNB
BUSD
BCH
ADA
LINK
ATOM
CRO
DOGE
EOS
FTT
MIOTA
LTC
XMR
XEM
DOT
XRP
SOL
XLM
USDT
THETA
TRX
VET
FIL
SHIB
