Coin,Name_Pair,Price,Volume
BTC,BTC-USD,48612.34,5819.29539692
ETH,ETH-USD,3170.24,82612.89557885
BCH,BCH-USD,660.44,16001.95508748
ADA,ADA-USD,2.5898,124078080.67
LINK,LINK-USD,27.29791,1899124.89
ATOM,ATOM-USD,21.596,2305338.6
DOGE,DOGE-USD,0.3108,184067079.7
EOS,EOS-USD,5.302,2913751.6
LTC,LTC-USD,182.19,232356.96286058
DOT,DOT-USD,27.034,1432147.361
SOL,SOL-USD,73.321,900228.57
XLM,XLM-USD,0.365384,97059358
USDT,USDT-USD,1.0007,15912608.22
FIL,FIL-USD,76.4895,329544.065
