coin,1month Price
BTC,45888.91
ETH,3175.01
BNB,421.09
BUSD,0.99925
BCH,672.71
ADA,2.05
LINK,28.16
ATOM,16.41
CRO,0.14738
DOGE,0.32074
EOS,5.37
FTT,45.40
MIOTA,1.08
LTC,177.68
XMR,266.49
XEM,0.20772
DOT,25.47
XRP,1.18
SOL,66.54
XLM,0.36552
USDT,1.00
THETA,7.71
TRX,0.08950
VET,0.12662
FIL,72.84
SHIB,8.73
